state,name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed
VA,The Assistive Technology Loan Fund Authority,NA,196187,2020,Special District,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
OR,The State Fair Council,NA,196297,2020,Special District,473000,0,172000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,Norfolk State University,NA,196240,2020,Special District,221658000,0,23961000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
OR,The Oregon Affordable Housing Assistance Corporation,NA,196298,2020,Special District,54991000,0,16979000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,The Fort Monroe Authority,NA,196189,2020,Special District,4456000,0,1312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NJ,Edison Township School District,NA,197027,2020,School District,68499675,1550132,8012809,2630926,0,0,51926710,0,0,0,4379099,1952270,60586334,0,259106688,8617595,313027696,195226953,240757988,0,435984941,FALSE
NJ,Ocean Township School District,NA,197065,2020,School District,53980271,27560000,3539200,2207040,0,0,18524738,0,0,0,2149293,886501,17642157,0,77158622,5399864,90287416,0,0,0,95687280,FALSE
NJ,Hillsborough Township School District,NA,197056,2020,School District,48235448,4210000,595136,12514874,0,1200000,26645458,0,0,0,3069980,1585063,42887872,0,121222159,4658105,161036989,0,0,0,165695094,FALSE
MN,Planned Parenthood North Central States,NA,196917,2020,Special District,22696998,0,5316008,0,2338894,13607327,0,0,0,0,0,0,4024205,0,75281162,5180436,74124931,0,0,0,79305367,FALSE
NM,New Mexico Lottery Authority,NA,196955,2020,Special District,8249000,0,4695000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,The A. L. Philpott Manufacturing Extension Partnership,NA,196190,2020,Special District,922000,0,711000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NJ,Monroe Township School District,NA,197038,2020,School District,167837019,122469024,3558371,5504073,0,0,32044508,0,0,0,4261042,2486067,2352339,0,151992912,1258960,155572358,147208383,40931477,0,188139860,FALSE
NJ,Jefferson Township School District,NA,197031,2020,School District,42481955,23318639,1812939,887105,0,0,16240922,0,0,0,222350,1052106,31299402,0,46095921,2733087,75714342,602033,258698,0,78447429,FALSE
AL,State Employees Health Insurance,NA,196242,2020,Special District,51310000,0,5686000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NM,University of New Mexico Alumni Association,NA,196956,2020,Special District,0,0,0,0,0,0,36000,0,36000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,The Virginia Museum of Fine Arts Foundation,NA,196191,2020,Special District,48470000,0,1638000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NJ,Middletown Township School District,NA,197037,2020,School District,111723074,53781614,7990757,9650000,0,0,35735896,0,0,0,4564807,1365933,43481094,0,171198879,6339452,209706454,1365933,539538,0,216045906,FALSE
NJ,Marlboro Township School District,NA,197032,2020,School District,27409215,0,3080552,1325300,0,0,20801442,0,0,0,2685038,798963,22056387,0,90520136,5873601,107501885,798963,372324,0,113375486,FALSE
NJ,Voorhees Township School District,NA,197066,2020,School District,16421952,2844355,882896,0,0,0,10993603,0,0,0,1207210,1521323,12127051,0,54427570,5463524,62612420,0,0,0,68075944,FALSE
NJ,Winslow Township School District,NA,197075,2020,School District,20180495,80000,4793214,0,0,0,12786475,0,0,0,2520806,4543901,25500584,0,97426717,10517527,116953674,0,0,0,127471202,FALSE
NJ,Mahwah Township School District,NA,197064,2020,School District,21197688,4741043,1228629,0,0,0,10929213,0,0,0,4298803,13154018,17168793,0,65674609,4043302,91954118,0,0,0,95997420,FALSE
AL,Historical Commission,NA,196243,2020,Special District,13051000,0,4428000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NE,Metropolitan Community College Area,NA,196995,2020,Community College District,58264173,40622218,15078790,0,0,0,0,0,0,0,2563165,0,0,0,0,0,0,23384366,113486848,14227817,136871214,FALSE
NJ,Washington Township School District,NA,197067,2020,School District,70209996,10585503,6195237,107330,0,0,35895704,0,0,0,7370060,2025271,31242894,27152,138556880,3101246,168750952,0,0,0,171852198,FALSE
NJ,Pennsauken Township School District,NA,197042,2020,General Purpose,80740504,35926425,9661581,8797274,0,0,22992712,0,809898,0,2552614,875765,25736589,0,98130589,4101748,120641195,0,0,0,124742943,FALSE
NJ,Sparta Township School District,NA,197054,2020,School District,79812269,60840132,2373242,708109,0,0,14935918,0,0,0,954868,544862,20023696,0,66721905,3440962,83849501,0,0,0,87290463,FALSE
NM,UNM Lobo Club,NA,196957,2020,Special District,0,0,0,0,0,0,2120000,0,2120000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NJ,Lakewood Township School District,NA,197063,2020,School District,169078664,29980333,24463699,1557514,79548509,0,26230389,0,0,0,5458405,514082,81931492,0,146503379,-27193480,256142433,514082,6582020,0,228948953,FALSE
NM,ENMU Roswell Foundation,NA,197041,2020,Special District,0,0,0,0,0,0,22000,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NJ,Neptune Township School District,NA,197040,2020,School District,24064636,0,2204104,0,0,0,18909169,0,0,0,2951363,7454408,9705429,0,87510772,-3725209,108395818,0,0,0,104670609,FALSE
VA,University of Mary Washington,NA,196244,2020,Special District,391623000,0,50814000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
AL,Alabama Institute for the Deaf and Blind,NA,196245,2020,Special District,101336000,0,4949000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NM,New Mexico Institute of Mining and Technology Research Foundation,NA,196959,2020,Special District,0,0,0,0,0,0,659000,0,653000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NJ,Upper Township School District,NA,197071,2020,School District,6077285,0,178120,0,0,0,5281255,0,0,0,617910,1233340,5392375,0,34637885,-968646,42232248,0,0,0,41263602,FALSE
NM,UNM Anderson School of Management Foundation,NA,196958,2020,Special District,0,0,0,0,0,0,979000,0,979000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NM,ENMU Ruidoso Foundation,NA,197045,2020,Special District,0,0,0,0,0,0,20000,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,"The Danville Science Center, Inc.",NA,196195,2020,Special District,117000,0,108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
MA,Massachusetts Housing Partnership,NA,196197,2020,Special District,616003000,524800000,4413000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
AL,Space Science Exhibit Commission,NA,196246,2020,Special District,25541000,0,7646000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NM,Northern New Mexico College Foundation,NA,197046,2020,Special District,0,0,0,0,0,0,574000,0,574000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NM,New Mexico Military Institute Foundation,NA,197047,2020,Special District,0,0,0,0,0,0,684000,0,684000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,The Virginia Commercial Space Flight Authority,NA,196196,2020,Special District,5689000,0,5619000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
AL,Crime Victims Compensation Commission,NA,196248,2020,Special District,6702000,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
AL,Supercomputer Authority ,NA,196249,2020,Special District,6226000,0,3838000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NM,Cumbres & Toltec Scenic Railroad Commission,NA,197048,2020,Special District,0,0,0,0,0,0,1708000,0,1687000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NM,New Mexico Renewable Transmission Authority,NA,197049,2020,Special District,0,0,0,0,0,0,81000,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,FALSE
MA,Economic Development Entities,NA,196198,2020,Special District,166211000,90369000,23900000,0,0,0,0,0,0,0,907000,0,0,0,0,0,0,0,0,0,0,FALSE
NM,New Mexico Small Business Investment Corporation,NA,197050,2020,Special District,0,0,0,0,0,0,1710000,0,1710000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,Radford University,NA,196253,2020,Special District,256398000,0,37881000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,James Madison University,NA,196251,2020,Special District,842232000,0,92665000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NY,Power Authority,NA,197053,2020,Special District,3749000000,495000000,0,0,0,740000000,53000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
MA,Higher Education Foundations,NA,196200,2020,Special District,49489000,17861000,23228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NY,Thruway Authority ,NA,197057,2020,Special District,7519000000,6027000000,0,0,0,0,37000000,0,984000000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,Virginia Commonwealth University,NA,196204,2020,Special District,2575621000,0,754002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
TN,Tennessee Education Lottery Corporation,NA,196203,2020,Special District,251505000,0,248612000,0,0,0,0,0,0,0,745000,0,0,0,0,0,0,0,0,0,0,FALSE
AL,Red Mountain Recreation Commission,NA,196255,2020,Special District,1327000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NY,Environmental Facilities Corporation,NA,197062,2020,Special District,6151000000,5922000000,0,0,0,0,2000000,0,48000000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,Virginia Polytechnic Institute and State University,NA,196202,2020,Special District,1775339000,0,368743000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
AL,Historic Ironworks Comission,NA,196254,2020,Special District,2248000,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,Old Dominion University,NA,196256,2020,Special District,638260000,0,96054000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
TN,Tennessee Local Development Authority,NA,196205,2020,Special District,1713000,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NJ,Higher Education Student Assistance Authority,NA,196257,2020,Special District,1702157626,0,17282559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
TN,Tennessee State School Bond Authority,NA,196206,2020,Special District,2386159000,0,23238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NY,SUNY Foundations and Auxiliary Corporations,NA,197069,2020,Special District,720000000,352000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,George Mason University,NA,196258,2020,Special District,1171202000,0,217416000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NY,CUNY Supporting Organisations,NA,197070,2020,Special District,184000000,132000000,3,0,0,21000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NY,Miscellaneous,NA,197072,2020,Special District,1816000000,87000000,63000000,0,0,12000000,81000000,0,901000000,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NC,Scotland Neck,34204200500000,90760,2020,General Purpose,1293225,0,605439,0,0,269000,368132,0,0,0,50654,4875269,1023114,0,1123063,-247470,7268916,0,0,0,7021446,FALSE
NM,Carlsbad Soil & Water Conservation District,NA,52537,2020,Special District,1059988,0,852868,0,0,38720,166186,0,0,0,2214,16982,3363017,0,479222,-455035,4314257,0,0,0,3859222,FALSE
TN,The Access Tennessee,NA,196208,2020,Special District,7000,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
MN,Minnesota Comprehensive Health Association,NA,196260,2020,Special District,150116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
MS,Biloxi,25202400100000,34943,2020,General Purpose,225050436,75563176,21615116,5614552,8655365,0,100995501,0,0,0,10924227,27987796,5831483,27474088,61518074,17876787,104934654,0,0,0,122811441,FALSE
TN,Tennessee Certified Cotton Growers’ Organization,NA,196207,2020,Special District,370000,0,370000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
MN,Minnesota Sports Facilities Authority,NA,196262,2020,Special District,40820000,0,0,0,0,0,225000,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,FALSE
TN,Total Non Major Component Units ,NA,196209,2020,Special District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,Virginia Community College System,NA,196261,2020,Special District,920102000,0,159883000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
IA,University of Iowa Center for Advancement & Affiliate,NA,197131,2020,Special District,105355000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
MN,Rural Finance Authority,NA,196264,2020,Special District,90382000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
OH,Bloom Vernon Local District,NA,197121,2020,Special District,14847110,116770,1254500,718111,0,0,10793110,0,1207302,599070,757317,1417693,1569922,0,10433911,-132459,13553985,0,0,0,13421526,FALSE
NY,Warrensburg Central School,NA,197115,2020,School District,73942201,3035000,889185,0,0,5845000,1028375,1080543,62032501,0,1112140,307049,919116,0,20395644,2197455,19424354,0,0,0,21621809,FALSE
NY,Garden City Union Free School District,NA,197098,2020,School District,304891482,24275840,9166726,0,0,0,9436547,0,250534454,0,3592531,1481148,1750060,0,114565699,-2895186,120692093,0,0,0,117796907,FALSE
MN,National Sports Center Foundation,NA,196263,2020,Special District,7669000,4374000,0,127000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NY,City of Buffalo Section 8 Housing Assistance Payments Program,33201500500000,197093,2020,Special District,155219,0,154871,0,0,0,0,0,0,0,0,0,4562636,0,63606,13192,4613050,4626000,0,0,4626242,TRUE
VA,Christopher Newport University,NA,196265,2020,Special District,335065000,0,34370000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
VA,Longwood University,NA,196267,2020,Special District,414218000,0,50574000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
OH,Eastland Fairfield Career and Technical Schools,NA,197128,2020,School District,32647125,700000,3048075,0,0,0,24933953,0,2419861,1408312,1545236,1602800,2169359,0,21144777,-1723793,26640729,0,0,0,24916936,FALSE
MN,Workers’ Compensation Assigned Risk Plan,NA,196266,2020,Special District,700332000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
PA,Other Component Units of PA,NA,197136,2020,Special District,2059000,0,59000,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,FALSE
IA,Iowa State University Foundation,NA,197135,2020,Special District,49968000,0,0,0,0,0,0,0,0,0,876000,0,0,0,0,0,0,0,0,0,0,FALSE
OR,Willamette Education Service District,NA,191011,2020,School District,39381176,18818949,3196922,0,0,0,16428343,0,868018,309713,68944,3651210,27766226,0,46684209,988920,77112725,0,0,0,78101645,FALSE
MT,Missoula County,27103203200000,35366,2020,General Purpose,170314590,82203469,9130357,9502445,4774000,9466407,40176547,0,2404234,0,6184037,22414632,10313028,0,69435309,5787137,96375832,0,0,0,102162969,FALSE
IA,University of Northern Iowa Foundation,NA,197140,2020,Special District,3057000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
IA,University of Iowa Research Foundation,NA,197141,2020,Special District,1105000,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
IA,University of Iowa Health System,NA,197145,2020,Special District,7952000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
GA,Mcintosh County Board of Education,NA,197172,2020,School District,44662781,3300000,2455279,14670699,0,0,14058038,0,10178763,0,0,72361,9411077,112977,9031019,200640,18426794,0,0,0,18627434,FALSE
GA,Oglethorpe County Board of Education,NA,197174,2020,School District,61833712,6817096,2953314,11545957,0,0,22694384,0,17822960,0,0,194850,17181575,456170,13308408,2807900,28333103,0,0,0,31141003,FALSE
FL,Housing Finance Authority of Palm Beach County,NA,197200,2020,Special District,287205,0,287205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
MI,Drainage Districts,NA,197243,2020,Special District,393726925,288163255,105563670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
MO,Saint Robert,NA,197257,2020,General Purpose,17182177,4912519,2480064,2585086,0,0,220944,131935,0,0,177580,12426732,192191,966519,6645508,1711071,18519879,0,0,0,20230950,FALSE
GA,Taylor County Board of Education,NA,197176,2020,School District,42736217,16291497,2120206,0,0,0,13532512,0,10792002,0,0,417657,12737176,77220,7196144,636537,19791660,0,0,0,20428197,FALSE
GA,Telfair County Board of Education,NA,197177,2020,School District,37773730,4771749,2493401,39064,0,0,16564192,0,13905323,0,0,180344,14545250,1513100,7308197,1257111,22289780,0,0,0,23546891,FALSE
FL,Hillsborough Metropolitan Planning Organization (MPO),NA,197203,2020,Special District,48000,0,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,0,0,0,0,FALSE
NC,Mecklenburg County Alcoholic Beverage Control Board,NA,151455,2020,Special District,23286503,0,20720527,0,0,0,2565976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
OK,Dove Science Academy E-024,NA,197296,2020,Charter School,1752623,0,1752623,0,0,0,0,0,0,0,0,0,0,0,11819625,36087,11783538,0,0,0,11819625,FALSE
FL,Hillsborough County City-County Planning Commission (PC),NA,197204,2020,Special District,761000,0,273000,0,0,0,0,0,0,0,488000,0,0,0,0,0,0,0,0,0,0,FALSE
IL,Forest Preserve District,NA,197254,2020,Special District,637581937,151925117,71577004,0,0,0,284691886,0,43728394,0,2138536,0,0,0,0,0,0,0,0,0,0,FALSE
TX,The Child Protective Services Board,NA,197251,2020,Special District,138757,0,138757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
CA,First 5 LA ,NA,197252,2020,Special District,22627000,0,21824000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
IL,Emergency Telephone Systems,NA,197255,2020,Special District,2385641,0,2385641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
GA,Harris County Development Authority,NA,197256,2020,Special District,69943,0,69943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
TX,Harris County Housing Finance Corporation,NA,197258,2020,Special District,6848,0,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
UT,Hanksville Town,45202830100000,66223,2020,General Purpose,653014,560028,92986,0,0,0,0,0,0,0,0,95506,16639,0,78980,-23217,214342,0,0,0,191125,FALSE
AZ,Industrial Development Authority of Maricopa County,NA,197262,2020,Special District,6335366,0,6335366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
FL,"Jackson Health Foundation, Inc.",NA,197270,2020,Special District,399000,0,399000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
CA,The First 5 Commission of San Diego,NA,197263,2020,Special District,10217000,0,10128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
FL,Housing Finance Authority of Miami Dade County,NA,102528,2020,Special District,3387000,0,645000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
TX,Harmony Public Schools,NA,229781,2020,School District,581671449,387112277,58897815,109465167,0,26196190,0,0,0,0,0,0,393715933,0,11538978,12530941,392723970,0,0,0,405254911,FALSE
NV,Clark County Stadium Authority,NA,197277,2020,Special District,764711903,733938584,30773319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
TX,Cibolo Canyons Special Improvement District,NA,197285,2020,Special District,126088282,77110000,485136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
TX,My Health My Resources of Tarrant County,NA,197282,2020,Special District,20551000,0,15174000,1274000,0,0,0,0,0,0,4103000,0,0,0,0,0,0,0,0,0,0,FALSE
FL,The Clerk,NA,197286,2020,Special District,43106000,0,4479000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
FL,The Broward County Housing Finance Authority (HFA),NA,197288,2020,Special District,1979000,0,1170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
NY,Bath Central School District,NA,36389,2020,School District,139938107,38683833,1462223,0,0,750000,1901598,1834768,96425075,0,715378,894083,3539824,320673,33127894,-3410032,41292506,0,0,0,37882474,FALSE
OH,Corrections Commission of Northwest Ohio,NA,159442,2020,Special District,0,0,0,0,0,0,0,0,0,0,0,0,2820172,0,21407766,4156995,20070943,0,0,0,24227938,FALSE
OH,Delaware Northern New Community Authority,NA,159446,2020,Special District,2208872,0,2208872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101425,0,0,101425,FALSE
OH,Delaware South New Community Authority,NA,159447,2020,Special District,6831563,0,6831563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880837,94296,0,975133,FALSE
RI,Rhode Island College,NA,151178,2020,Community College District,111971000,12914000,7999000,0,146000,622000,41591000,0,19598000,0,5562000,0,0,0,0,0,0,0,0,0,0,FALSE
SC,Maxabilities,NA,197400,2020,Special District,21114160,0,1536567,0,0,147159,18895580,0,209801,0,325053,1220637,15835569,0,51792,-1473712,18581710,0,0,0,17107998,FALSE
PA,Delaware County Technical School,NA,197364,2020,School District,23709192,0,4158124,0,0,0,18479000,0,840000,723070,232068,1908863,3640603,0,11494819,1573262,15471023,0,0,0,17044285,FALSE
PR,Mayaguez,NA,197378,2020,General Purpose,247610771,52506450,64565842,1494,0,11125272,86635305,0,0,0,4586787,2067340,18607368,3050326,64211705,-140767,88077506,0,0,0,87936739,FALSE
OK,Norman Public Schools Norman Independent School District No. 29,NA,197313,2020,School District,345547410,106740000,11119521,6982510,0,0,95976887,0,896746,0,1676122,5742212,18380217,0,149113655,17349081,155887003,0,0,0,173236084,FALSE
OR,Reynolds School District,NA,197351,2020,School District,318390471,187461022,8278568,0,0,19508042,87585114,0,15115453,1153426,192923,704667,17239689,0,142532433,-760542,161237331,0,0,0,160476789,FALSE
PR,Penuelas,NA,197389,2020,General Purpose,67063757,14838031,6101393,0,5000000,1403331,37462395,0,0,0,1790609,10300,7697173,127199,15515858,-961727,24312257,0,0,0,23350530,FALSE
OR,David Douglas School District,NA,197337,2020,School District,273147221,78484245,12067191,0,0,0,159261981,0,22362817,1405866,970987,3930007,39342107,714163,120554711,-16713262,181254250,0,0,0,164540988,FALSE
PR,Rincon,NA,197380,2020,General Purpose,36243963,1016000,1832455,0,523461,4900125,26764291,0,458217,0,664696,2228681,1806002,554144,8856526,833516,12611837,0,0,0,13445353,FALSE
TN,Bledsoe County,43100400400000,197411,2020,General Purpose,20474187,20150000,108347,0,0,66005,0,165670,85730,0,64008,3048201,3218385,1200953,4267473,1610495,10124517,0,0,0,11735012,FALSE
TN,Lawrence County,43105005000000,197470,2020,General Purpose,63054156,51346146,2332224,0,2540391,4980000,0,2559321,506042,0,734871,8838308,9221954,223944,19032039,-4942590,42258835,0,0,0,37316245,FALSE
OR,Willamalane Park and Recreation District,NA,197357,2020,Special District,16541828,15022485,1014056,0,0,0,0,0,105627,0,399660,3297574,445086,0,12197575,846042,15094193,0,0,0,15940235,FALSE
TX,Cheokee County,NA,197547,2020,General Purpose,16078857,0,2085181,0,0,987049,699847,0,12043430,0,263350,3313156,2104201,0,19714698,1960721,23171334,0,0,0,25132055,FALSE
PR,Aguadilla,NA,197379,2020,General Purpose,197614161,57891057,5362879,0,20367093,0,105762672,0,2263140,0,2829709,4249135,15370372,25500,27749628,5752089,41642546,0,0,0,47394635,FALSE
TX,Hidalogo County,NA,197572,2020,General Purpose,155683628,0,155683628,0,0,0,0,0,0,0,0,25439367,178186428,0,368575636,-37063898,609265329,0,0,0,572201431,FALSE
TX,Schertz-Cibolo-Universal City Independent School District,NA,197595,2020,School District,562583379,459824381,12765295,0,0,0,40760838,0,47869923,0,1106054,3499816,24215243,0,152403137,-3146248,183264444,0,0,0,180118196,FALSE
UT,Salt Lake City Open Classroom,NA,197633,2020,School District,6963,0,6963,0,0,0,0,0,0,0,0,0,0,0,2766613,-96037,2862650,0,0,0,2766613,FALSE
UT,Medical School Campus PID,NA,197631,2020,School District,43592081,42754000,838081,0,0,0,0,0,0,0,0,0,0,0,1701,-2092565,2094266,0,0,0,1701,FALSE
TN,Sequatchie-Bledsoe County,NA,197514,2020,General Purpose,378927,0,0,0,0,0,0,0,0,0,0,0,0,0,38684,18505,20179,0,0,0,38684,FALSE
UT,Milford,45200100200000,197619,2020,General Purpose,5725523,1055000,272007,0,0,4217000,105155,0,0,0,76361,1255598,201885,367218,752577,680023,1897255,0,0,0,2577278,FALSE
VA,Roanoke County Public Schools,NA,197668,2020,School District,161442468,0,4802741,0,0,0,122684122,793372,29033514,0,2642055,3791419,35731337,556392,129760152,-2077400,171916700,0,0,0,169839300,FALSE
VA,School Board of the City of Norfolk,NA,197659,2020,School District,458451611,0,54462443,0,0,0,297859309,0,92361309,0,9881605,2662170,214478989,1489275,162799246,13718947,367710733,0,0,0,381429680,FALSE
VA,School Board of the City of Petersburg,NA,197660,2020,School District,52389826,0,6782289,0,0,0,37559471,0,7186627,0,861439,127374,25998520,0,27033095,-125297,53284286,0,0,0,53158989,FALSE
WI,Lakeland Union High School District,NA,197695,2020,School District,15848310,11334955,2029368,0,0,0,0,1326186,1824996,0,658991,1065264,3383619,249000,12678416,-451980,17828279,0,0,0,17376299,FALSE
VA,Loudoun County Public Schools,NA,197654,2020,School District,1674258721,0,190203621,25218883,0,0,993580040,0,403737216,0,44238573,16825978,75940321,172769957,1232337818,36584356,1461289718,189502871,0,0,1497874074,FALSE
VA,York County School Division,NA,197673,2020,School District,158506650,0,20034901,0,0,0,112685371,10046,17873640,1782169,3253908,2382713,77016050,0,80925837,2946299,157378301,0,0,0,160324600,FALSE
VA,Portsmouth Virginia School Board,NA,197663,2020,School District,179214769,0,13345877,0,0,0,138742940,0,20561679,6980817,4614291,1418555,36132586,0,141031731,6645718,171937154,0,0,0,178582872,FALSE
VA,Prince William County Public Schools,NA,197665,2020,School District,1241056033,0,149774305,0,0,0,880640955,0,159352777,3001795,36717959,17591808,168117634,0,1223146145,118329009,1290526578,0,0,0,1408855587,FALSE
WI,Medford Area Public School District,NA,197698,2020,School District,6024371,0,1254400,0,0,2682633,0,2994283,1767338,0,0,7945276,4138616,0,24116800,2761164,33439528,0,0,0,36200692,FALSE
WI,Hayward Community School District,NA,197693,2020,School District,13450544,0,7217961,0,0,5333618,0,2254479,789457,0,109508,285964,4347309,0,24108915,2383377,26358811,0,0,0,28742188,FALSE
ND,Dickinson,35204500200000,123781,2020,General Purpose,102154063,8963265,2857736,2787836,0,57160040,23521172,0,3947928,0,1803765,14870830,3891301,0,34700472,-1314362,54776965,0,0,0,53462603,FALSE
TN,Tazewell,43201300300000,197523,2020,General Purpose,43250,0,43250,0,0,0,0,231934,0,0,0,283827,518279,462132,1227959,618002,1874195,0,0,0,2492197,FALSE
